region,nat_n,rest_n,nat_surv,rest_surv,nat_surv_lower,nat_surv_upper,rest_surv_lower,rest_surv_upper,difference_pp,log_odds_diff,se_log_odds_diff,p_value,method,k_natural,k_restoration
Florida Keys,5293,1097,0.8020026450028339,0.6007292616226071,0.7910499668873983,0.8125172768850424,0.5714449319310759,0.6293105885202996,20.127338338022682,-0.3728085634883085,0.49309146278678806,0.49169461593543895,"meta-regression (rma, knha)",2,4
Puerto Rico,130,312,0.9230769230769231,0.8269230769230769,0.8641853468446363,0.9576825629139218,0.7810357387913426,0.8648579344512589,9.615384615384626,-0.7478389492626882,0.8377961452683995,0.5360784186498206,"meta-regression (rma, knha)",1,2
US Virgin Islands,242,46,0.6115702479338843,0.6521739130434783,0.5488763218827817,0.6707774348881022,0.5077005884206277,0.7731900662924566,-4.060366510959401,-0.6827399351047425,2.4745538698923775,0.8286176966935912,"meta-regression (rma, knha)",2,1
Overall (within-region),5665,1455,NA,NA,NA,NA,NA,NA,NA,0.6155313909963598,0.3700883814381545,0.23817204983063445,RE meta-analysis of regional log-ORs (knha),5,7
