study,region,n,n_survived,n_died,survival_rate,mean_size,fragment_pct,population_type,year_min,year_max,needs_correction,n_survived_adj,n_died_adj,n_adj,log_odds,var_log_odds,se_log_odds,weight
NOAA_survey,Curacao,856,724,132,0.8457943925233645,5766.048107476641,4.55607476635514,Natural colony,2007,2015,FALSE,724,132,856,1.7019894697993454,0.008956973045370836,0.09464128615657563,111.64485981308411
NOAA_survey,Florida Keys,3010,2638,372,0.8764119601328904,4111.430996677724,1.8272425249169437,Natural colony,2004,2024,FALSE,2638,372,3010,1.9588824790041135,0.003067247099872011,0.0553827328674923,326.0252491694352
NOAA_survey,Navassa,102,94,8,0.9215686274509803,6128.77225490196,0,Natural colony,2009,2012,FALSE,94,8,102,2.463853240590168,0.1356382978723404,0.3682910504917821,7.372549019607844
USGS_USVI_exp,US Virgin Islands,46,30,16,0.6521739130434783,59.47391304347826,100,Restoration fragment,2020,2021,FALSE,30,16,46,0.6286086594223741,0.09583333333333333,0.30956959368344517,10.434782608695652
fundemar_fragments,Dominican Republic,44,38,6,0.8636363636363636,20.10218181818182,100,Restoration fragment,2021,2021,FALSE,38,6,44,1.8458266904983307,0.19298245614035087,0.4392976851069794,5.1818181818181825
kuffner_et_al_2020,Dry Tortugas,24,24,0,1,20.333333333333332,100,Restoration fragment,2019,2019,TRUE,24.5,0.5,25,3.8918202981106265,2.0408163265306123,1.4285714285714286,0.49
kuffner_et_al_2020,Florida Keys,29,19,10,0.6551724137931034,15.306034482758621,100,Restoration fragment,2019,2019,FALSE,19,10,29,0.6418538861723947,0.15263157894736842,0.39068091705043445,6.551724137931035
mendoza_quiroz_et_al_2023,Mexican Caribbean,52,52,0,1,202.69907200508987,0,Natural colony,2016,2021,TRUE,52.5,0.5,53,4.653960350157523,2.019047619047619,1.4209319544044392,0.49528301886792453
neely_et_al_2022,Florida Keys,2215,1591,624,0.7182844243792325,2071.6697536995234,0,Natural colony,NA,NA,FALSE,1591,624,2215,0.9359676599683592,0.002231099614820545,0.047234517196860865,448.2094808126411
pausch_et_al_2018,Florida Keys,968,556,412,0.5743801652892562,63.76726756198348,100,Restoration fragment,2015,2016,FALSE,556,412,968,0.299744944901056,0.004225745617098554,0.06500573526311777,236.64462809917356
