"n_per_site","n_sites","effect_size","total_n","power"
10,3,0.1,60,0.11
20,3,0.1,120,0.302
50,3,0.1,300,0.618
10,5,0.1,100,0.233
20,5,0.1,200,0.461
50,5,0.1,500,0.847
10,10,0.1,200,0.455
20,10,0.1,400,0.777
50,10,0.1,1000,0.994
10,3,0.15,60,0.203
20,3,0.15,120,0.632
50,3,0.15,300,0.972
10,5,0.15,100,0.543
20,5,0.15,200,0.873
50,5,0.15,500,0.998
10,10,0.15,200,0.874
20,10,0.15,400,0.996
50,10,0.15,1000,1
