size_class,n,survival,se,ci_lower,ci_upper
SC1,94,0.5638297872340425,0.051149110166929496,0.46302905666200467,0.6596183378539683
SC2,1596,0.6723057644110275,0.011749012744498286,0.6488883327897995,0.6948957321671284
SC3,1225,0.7975510204081633,0.011480716405651192,0.7741350123551488,0.8191066908500909
SC4,946,0.9143763213530656,0.00909732811075055,0.8948273673653347,0.9305735379324823
SC5,1270,0.9503937007874016,0.006092819724697284,0.9370346750627554,0.9610362678150972
