Model,AIC,BIC,Description,Delta_AIC
GLMM_full,3695.3501244148197,3728.2509643677076,Linear + study/location/year RE,0
GLMM_coral,3697.3502132745316,3736.831221217997,Linear + coral/study/location/year RE,2.000088859711923
GLMM_study,4274.153929097017,4293.900623859803,Linear + study RE,578.8038046821971
GAM,4542.6126391558,4576.013086546417,"Smooth (k=10), no RE",847.2625147409804
GLM,4560.5310009170435,4573.695464092234,No random effects,865.1808765022238
