field,mismatch_n,checked_n
timeline_interval_end_year,0,7346
timeline_event_count,0,7346
timeline_event_names,0,7346
timeline_event_types,0,7346
timeline_sources,0,7346
timeline_analysis_tiers,0,7346
Event_Name,0,7346
Event_Type,0,7346
Intensity_Value,0,7346
Impact_Description,0,7346
disturbance_regime,0,7346
exclude_from_baseline,0,7346
is_catastrophic,0,7346
is_major_disturbance,0,7346
