region,category_at_closest,n_storms,n_direct_hits,mean_distance_km
Bahamas,Tropical Depression,11,0,128.5
Bahamas,Tropical Storm,12,4,114.6
Bahamas,Category 1,7,1,103.4
Bahamas,Category 2,3,0,102.9
Bahamas,Category 3,2,0,130.7
Bahamas,Category 4,1,0,60.5
Bahamas,Category 5,2,0,113.4
Bahamas,Subtropical,1,0,179.7
Bahamas,Post-tropical,0,0,NA
Bahamas,Miscellaneous,4,0,113.9
Bahamas,Unknown,0,0,NA
British Virgin Islands,Tropical Depression,10,1,124.8
British Virgin Islands,Tropical Storm,20,3,90.1
British Virgin Islands,Category 1,5,2,90.6
British Virgin Islands,Category 2,3,1,75.5
British Virgin Islands,Category 3,0,0,NA
British Virgin Islands,Category 4,8,0,123.5
British Virgin Islands,Category 5,2,1,64.3
British Virgin Islands,Subtropical,1,1,15.3
British Virgin Islands,Post-tropical,0,0,NA
British Virgin Islands,Miscellaneous,3,1,138.5
British Virgin Islands,Unknown,0,0,NA
Cuba,Tropical Depression,12,3,85.9
Cuba,Tropical Storm,12,3,83.8
Cuba,Category 1,5,1,116.3
Cuba,Category 2,5,1,103.6
Cuba,Category 3,3,0,94.8
Cuba,Category 4,3,0,121.1
Cuba,Category 5,0,0,NA
Cuba,Subtropical,0,0,NA
Cuba,Post-tropical,0,0,NA
Cuba,Miscellaneous,4,2,74.9
Cuba,Unknown,0,0,NA
Curacao,Tropical Depression,4,1,132.1
Curacao,Tropical Storm,5,2,85.2
Curacao,Category 1,0,0,NA
Curacao,Category 2,1,0,89.1
Curacao,Category 3,0,0,NA
Curacao,Category 4,2,0,171.5
Curacao,Category 5,0,0,NA
Curacao,Subtropical,0,0,NA
Curacao,Post-tropical,0,0,NA
Curacao,Miscellaneous,2,1,46.9
Curacao,Unknown,0,0,NA
Dominican Republic,Tropical Depression,7,2,105.2
Dominican Republic,Tropical Storm,13,5,84.1
Dominican Republic,Category 1,5,2,81.5
Dominican Republic,Category 2,0,0,NA
Dominican Republic,Category 3,3,1,107.6
Dominican Republic,Category 4,0,0,NA
