study,region,year_min,year_max,population_type,n_survival,n_growth,mean_size,median_size
NOAA_survey,Curacao; Florida Keys; Navassa,2004,2024,Natural colony; Restoration fragment,3968,3466,4520.231665826602,1257.3
USGS_USVI_exp,US Virgin Islands,2020,2021,Restoration fragment,46,30,59.47391304347828,25.3125
fundemar_fragments,Dominican Republic,2021,2021,Restoration fragment,44,177,20.10218181818182,18.7635
kuffner_et_al_2020,Dry Tortugas; Florida Keys,2019,2019,Restoration fragment,53,43,17.58254716981132,16.5
mendoza_quiroz_et_al_2023,Mexican Caribbean,2016,2021,Natural colony,52,52,202.69907200508985,31.653370159445103
neely_et_al_2022,Florida Keys,2010,2015,Natural colony,2215,1570,2071.6697536995225,478.826666666667
pausch_et_al_2018,Florida Keys,2015,2016,Restoration fragment,968,557,63.767267561983566,52.5
