dataset,n_rows,n_studies,n_sites,n_site_years,year_min,year_max,pct_florida_keys
survival_panel,7335,7,67,516,2004,2024,84.67620995228357
growth_panel,5637,7,66,489,2005,2024,83.11158417598014
