from_class,n_transitions,retrogression_n,stasis_n,growth_n,retrogression_probability,stasis_probability,growth_probability,retrogression_among_nonstasis,retrogression_probability_pct,stasis_probability_pct,growth_probability_pct
SC1,44,0,25,19,0,0.5681818181818182,0.4318181818181818,0,0,56.81818181818182,43.18181818181818
SC2,604,92,362,150,0.152317880794702,0.5993377483443708,0.24834437086092714,0.38016528925619836,15.2317880794702,59.93377483443708,24.834437086092713
SC3,1240,208,846,186,0.16774193548387098,0.682258064516129,0.15,0.5279187817258884,16.7741935483871,68.2258064516129,15
SC4,1159,199,815,145,0.17169974115616912,0.7031924072476272,0.12510785159620363,0.5784883720930233,17.169974115616913,70.31924072476272,12.510785159620363
SC5,1320,120,1200,0,0.09090909090909091,0.9090909090909091,0,1,9.090909090909092,90.9090909090909,0
