size_class,analysis_subset,n_records,n_studies,n_regions,n_shrinkage,shrinkage_frequency,shrinkage_ci_lower,shrinkage_ci_upper,mean_tissue_loss_cm2_yr,median_tissue_loss_cm2_yr,mean_net_growth_cm2_yr,median_net_growth_cm2_yr,pct_positive_growth,shrinkage_frequency_pct
SC1,all_clean,48,4,4,9,0.1875,0.0894983818493728,0.32629302395671345,3.447179313260575,3.986775818639797,5.305344824112161,4.414087261498305,72.91666666666666,18.75
SC2,all_clean,1291,7,7,293,0.22695584817970565,0.20436252909439367,0.25079932517408754,26.11144482381412,19.531808510638303,32.00185843175265,29.3065693430657,75.91014717273431,22.695584817970566
SC3,all_clean,1532,5,5,611,0.39882506527415146,0.37419311179078557,0.42384564245238543,185.02888947132269,135.965223880597,53.81276213632087,42.923434551087425,58.812010443864224,39.882506527415146
SC4,all_clean,1297,3,4,559,0.4309946029298381,0.4038407109817475,0.4584619225859099,825.2768616301167,642.31843575419,53.95926279465674,118.080223880597,55.82112567463376,43.09946029298381
SC5,all_clean,1469,2,3,686,0.46698434309053777,0.4412189211045557,0.49288202026677996,3662.505583573251,2195.195255474455,-679.4999492028943,222.60989010989,53.16541865214431,46.69843430905377
SC1,matrix_compatible,44,3,3,8,0.18181818181818182,0.08191884088070359,0.32713685024624584,3.809380980890369,4.021165687097678,4.501721309784113,4.007385675538476,72.72727272727273,18.181818181818183
SC2,matrix_compatible,1145,7,6,273,0.23842794759825328,0.21400694642558604,0.2642003723559283,26.933652866606497,20.1243243243243,31.507972110742553,28.9149874055416,74.75982532751092,23.842794759825328
SC3,matrix_compatible,1354,5,4,548,0.40472673559822747,0.37844400383828375,0.43142391255500745,191.13298762170416,142.39624377705633,45.17936314493286,40.3147018368977,58.27178729689808,40.472673559822745
SC4,matrix_compatible,1199,3,3,533,0.4445371142618849,0.4161588420155681,0.47318805088135696,830.8322959957696,644.907975460123,28.51872694714857,94.0474452554749,54.628857381150965,44.45371142618849
SC5,matrix_compatible,1369,2,2,650,0.4747991234477721,0.448059860633936,0.5016467678137052,3637.514575886715,2195.195255474455,-705.3993411775111,172.02416918429,52.373995617238855,47.47991234477721
