outcome,model,aic,bic,n,delta_aic
survival,base,5189.274297671631,5216.149605908601,6117,178.63182573444828
survival,window,5090.1610864393715,5157.349357031797,6117,79.51861450218894
survival,unconstrained,5010.642471937183,5111.424877825821,6117,0
positive_growth,base,6746.082544543828,6772.146514427187,4994,155.54114374920755
positive_growth,window,6611.364048191865,6676.5239729002615,4994,20.82264739724451
positive_growth,unconstrained,6590.54140079462,6688.281287857216,4994,0
rgr,base,25689.627728470932,25722.20769082513,4994,1.777215883750614
rgr,window,25687.85051258718,25759.526429766418,4994,0
rgr,unconstrained,25694.16074565854,25798.416625191978,4994,6.310233071359107
