"model","n_obs","n_params","log_lik","deviance","aic","bic","pseudo_r2","is_singular","convergence_ok","optimizer_messages","model_class","analysis_scope","canonical_for_manuscript","delta_aic","aic_weight","delta_bic","evidence_ratio"
"S7_interaction",7346,14,-3417.36576332342,6834.73152664685,6862.73152664685,6959.35828381616,0.106437820482717,NA,TRUE,NA,"GLM","classical_baseline_reference",FALSE,0,0.596647608241061,40.6284352241573,1
"S6_size_region",7346,8,-3423.75727939048,6847.51455878097,6863.51455878097,6918.72984859201,0.104766586724658,NA,TRUE,NA,"GLM","classical_baseline_reference",FALSE,0.783032134119821,0.403352391758938,0,0.676031188573832
"S3_quadratic",7346,3,-3462.33169707913,6924.66339415826,6930.66339415826,6951.3691278374,0.0946802678666049,NA,TRUE,NA,"GLM","classical_baseline_reference",FALSE,67.9318675114064,1.0580356498581e-15,32.639279245388,1.77330074778516e-15
"S4_threshold",7346,3,-3477.59489422761,6955.18978845521,6961.18978845521,6981.89552213435,0.0906892945102353,NA,TRUE,NA,"GLM","classical_baseline_reference",FALSE,98.4582618083632,2.487585424246e-22,63.1656735423448,4.16927075527798e-22
"S2_linear",7346,2,-3478.61217023905,6957.22434047809,6961.22434047809,6975.02816293085,0.0904233003401905,NA,TRUE,NA,"GLM","classical_baseline_reference",FALSE,98.4928138312416,2.44497896453383e-22,56.2983143388437,4.09786099996566e-22
"S5_categorical",7346,5,-3478.16763550647,6956.33527101294,6966.33527101294,7000.84482714484,0.0905395359005666,NA,TRUE,NA,"GLM","classical_baseline_reference",FALSE,103.603744366093,1.89867513389245e-23,82.1149785528332,3.18223874137335e-23
"S1_null",7346,1,-3824.42972817988,7648.85945635977,7650.85945635977,7657.76136758615,9.30366894635881e-14,NA,TRUE,NA,"GLM","classical_baseline_reference",FALSE,788.12792971292,4.32426648732951e-172,739.031518994142,7.24760550046888e-172
"S_ME4_random_slope",7346,5,-3364.92749536608,6680.90867154951,6739.85499073217,6774.36454686407,0.0809191768740222,FALSE,TRUE,NA,"GLMM","classical_baseline_reference",FALSE,0,0.971138919216083,6.77187139844409,1
"S_ME2_linear",7346,3,-3370.44347089324,6707.3420233613,6746.88694178648,6767.59267546562,0.107973312595531,FALSE,TRUE,NA,"GLMM","classical_baseline_reference",FALSE,7.03195105431496,0.0288610807045367,0,0.0297187973146353
"S_ME3_categorical",7346,6,-3387.15498056665,6741.84765997459,6786.3099611333,6827.72142849158,0.107830842853552,FALSE,TRUE,NA,"GLMM","classical_baseline_reference",FALSE,46.4549704011333,7.93802949192026e-11,60.1287530259578,8.17393818211708e-11
"S_ME1_null",7346,2,-3593.40302842866,7155.62000704008,7190.80605685732,7204.60987931008,0,FALSE,TRUE,NA,"GLMM","classical_baseline_reference",FALSE,450.951066125151,1.16011634570552e-98,437.017203844456,1.19459360833977e-98
