fecundity_per_adult,lambda,change,min_fecundity_for_lambda_gt_1,s_recruit,settlement_rate,larvae_needed_for_lambda_gt_1
0,0.9613236196732565,0,0.9999999999999996,0.028191117851695358,0.15,237
0.001,0.9613408967481623,1.7277074905730494e-5,0.9999999999999996,0.028191117851695358,0.15,237
0.01,0.9614962940869023,1.7267441364576808e-4,0.9999999999999996,0.028191117851695358,0.15,237
0.05,0.9621848597362903,8.612400630337858e-4,0.9999999999999996,0.028191117851695358,0.15,237
0.1,0.9630408098156323,0.001717190142375813,0.9999999999999996,0.028191117851695358,0.15,237
