"excluded_study","n_remaining","overall_survival","change_from_baseline","survival_SC1","survival_SC2","survival_SC3","survival_SC4","survival_SC5","pct_change","influential"
"NOAA_survey",1163,0.618454653438966,-0.198555361112755,0.791334737317688,0.589809058143324,0.594068990681457,1,NA,-24.3026838810169,TRUE
"pausch_et_al_2018",4163,0.87342617523113,0.0564161606794087,0.732198043397107,0.779781102482947,0.819495650881249,0.888081235797674,0.946883401470475,6.9051981829578,TRUE
"USGS_USVI_exp",5085,0.818473624585265,0.00146361003354345,0.742934085089146,0.653559089809155,0.779869919490336,0.888081235797674,0.946883401470475,0.179142239076042,FALSE
"kuffner_et_al_2020",5078,0.817069394380639,5.93798289172387e-05,0.724341267344022,0.651839760431562,0.780489604406912,0.888081235797674,0.946883401470475,0.00726794382683538,FALSE
"mendoza_quiroz_et_al_2023",5079,0.815136519918268,-0.00187349463345343,0.71191894694808,0.652103518188811,0.777044373982805,0.887123495761712,0.946883401470475,-0.22931109779375,FALSE
"fundemar_fragments",5087,0.81658361382777,-0.000426400723951503,0.720192017964576,0.651575602434924,0.780489604406912,0.888081235797674,0.946883401470475,-0.052190391348564,FALSE
