estimator,tau2,tau,pooled_survival,ci_lower,ci_upper,I2,note
REML,0.6727463821430516,0.8202111814301556,0.7987135716068866,0.7232914549934975,0.8576246292558921,96.34545361503716,Preferred (less biased for small k)
DL,0.7214344143202607,0.8493729536076956,0.7994996678576863,0.7240689030549292,0.8583442050954938,96.58366500672497,DerSimonian-Laird (comparison)
