response,model,n_obs,aic,bic,logLik,overdispersion_ratio,overdispersed,singular_fit,convergence_message
survival,additive,6141,5188.266083684822,5221.879798056469,-2589.133041842411,0.9601973341168315,FALSE,FALSE,NA
survival,interaction,6141,5177.718317066686,5224.777517186992,-2581.859158533343,0.9618270789073585,FALSE,FALSE,NA
positive_growth,additive,4994,6719.161862452453,6751.7418248066515,-3354.5809312262263,0.9989867731076447,FALSE,FALSE,NA
positive_growth,interaction,4994,6713.944460523991,6759.5564078198695,-3349.9722302619957,0.9992629704236289,FALSE,FALSE,NA
