outcome,model,family,n,aic,logLik,deviance_explained,r_squared,scale_est,delta_aic_vs_best
survival,baseline,binomial,7335,6637.52309961489,-3305.589518559807,0.13506173184806342,0.1294654641321933,1,1883.5846404054628
survival,spatiotemporal,binomial,6172,4753.9384592094275,-2314.906834130433,0.21450506434183514,0.20504025462066278,1,0
