outcome,model_variant,n_rows,n_events,concordance,concordance_se,log_likelihood,aic,frailty_theta,time_varying_prior_shrink,frailty_error_message
recurrent_shrinkage,frailty_time_varying,5756,2208,0.5286473130013233,0.0067827635574872975,-12429.095052773442,24876.241869359197,0.003409037396147954,TRUE,NA
terminal_mortality,frailty_time_varying,7346,1580,0.6733721613898849,0.0077651503065334195,-9344.155290809796,18715.943295027933,0.013808941331509736,TRUE,NA
