outcome_state,term,estimate,std_error,z_value,p_value
SC2,(Intercept),2.3612783026676323,7.370225486661144,0.32038074098833813,0.748679723227957
SC2,state_fromSC2,2.727926719410727,0.3671391188016272,7.430226254055706,1.0841207857777949e-13
SC2,state_fromSC3,2.2312044182423665,0.38614629084091934,5.7781324621386965,7.553433234139503e-9
SC2,state_fromSC4,2.193387090000384,0.540682384656504,4.05670159088657,4.977060551190938e-5
SC2,state_fromSC5,2.613666454989136,1.0624713289619863,2.459987750956665,0.01389417577613799
SC2,disturbance_anyany,-2.6702325037795425,7.35602780307844,-0.3629992402505699,0.7166054518695798
SC2,geo_domainNonFlorida,0.9051917272446143,0.5414350307545546,1.671838126142524,0.09455624643288518
SC2,log_interval,-0.9598977335173726,0.8753482399580039,-1.0965895511064545,0.27282085718635124
SC3,(Intercept),-2.5369101326975922,8.166458953242259,-0.31064995822827035,0.7560667436854065
SC3,state_fromSC2,7.257718054845568,3.546746358158139,2.046303096400323,0.0407265592558745
SC3,state_fromSC3,9.327409428362465,3.5476224819782463,2.629200112397884,0.008558598117204304
SC3,state_fromSC4,9.17600946473634,3.5657874888680694,2.573347260144544,0.010072009289741784
SC3,state_fromSC5,8.570596658905858,3.6793594219599153,2.3293719574535303,0.019839369329463907
SC3,disturbance_anyany,-3.3237028026753563,7.349944167928644,-0.45220789801074635,0.6511192189557844
SC3,geo_domainNonFlorida,1.0345270498511914,0.5567186881575021,1.8582581685465385,0.06313236115472495
SC3,log_interval,-0.4816689961646079,0.8794262824332024,-0.5477082113487931,0.5838922729689213
SC4,(Intercept),-2.935267864694605,8.509205180918277,-0.3449520610076349,0.7301304108827494
SC4,state_fromSC2,-2.1738370581187527,12.577040526583868,-0.17284169940646624,0.8627758588972159
SC4,state_fromSC3,8.158253323032618,4.266641190752742,1.912102039588967,0.0558631073070757
SC4,state_fromSC4,11.1923416123477,4.280793070030125,2.6145486196717602,0.008934544334463635
SC4,state_fromSC5,11.28220161340487,4.370499060099339,2.581444695047808,0.009838775424611878
SC4,disturbance_anyany,-3.554217060112128,7.353296189417822,-0.4833501831773111,0.6288471136570621
SC4,geo_domainNonFlorida,1.7643395686874082,0.5691590996233318,3.0999057554470166,0.0019358222761974321
SC4,log_interval,-1.53193250424867,0.9136000029064748,-1.6768087777748113,0.09357988072531863
SC5,(Intercept),-2.142180652019687,8.832078116828713,-0.24254548291844913,0.8083575184396169
SC5,state_fromSC2,-3.5728300465969527,26.4157585658264,-0.13525373642758304,0.8924112618584426
SC5,state_fromSC3,-1.6274276865059774,12.23602379190932,-0.1330029848080274,0.8941910199386687
SC5,state_fromSC4,9.348682416255238,4.883934531943727,1.9141702975561004,0.05559839963525049
SC5,state_fromSC5,13.549265637179666,4.961536068069318,2.7308610582069375,0.006316909684156354
SC5,disturbance_anyany,-4.582120432237126,7.358199217280422,-0.6227230735308454,0.5334665174225921
SC5,geo_domainNonFlorida,1.6555361209057025,0.5944843043917193,2.7848273010330513,0.005355623924778761
SC5,log_interval,-2.325058148691078,0.9815470955994035,-2.368768813147198,0.01784740556276444
