outcome,model,component,std_dev,variance
positive_growth,baseline,s(log_size)1,0.1657759531806515,0.027481666652953558
positive_growth,baseline,s(log_size)2,0.5136531011368559,0.26383950830750913
positive_growth,baseline,s(study),0.9980584715527525,0.9961207126382164
positive_growth,spatiotemporal,s(log_size)1,0.19004815149845267,0.036118299887978815
positive_growth,spatiotemporal,s(log_size)2,0.49054368446122804,0.24063310636479684
positive_growth,spatiotemporal,s(survey_year_factor),0.6030858817155602,0.3637125807246347
positive_growth,spatiotemporal,"s(longitude,latitude)1",0.2303582512808007,0.05306492393314852
positive_growth,spatiotemporal,"s(longitude,latitude)2",0.002414430885764473,5.829476502133417e-6
positive_growth,spatiotemporal,s(site_id),0.5742431315370639,0.3297551741174936
positive_growth,spatiotemporal,s(study),0.0019074370589602832,3.6383161338950546e-6
