"size_class","mean","ci_lower","ci_upper","se_boot"
"SC1",0.628651253458905,0.449693609866592,1,0.104292717325487
"SC2",0.687685042007174,0.471252982137651,1,0.134090437999432
"SC3",0.783048545938954,0.6516485416552,1,0.0865756551975722
"SC4",0.877669023841253,0.78242770418957,1,0.0549902976216547
"SC5",0.941067814047887,0.901917047916885,0.958576490949219,0.0148886290525582
