approach,n_boot_total,n_valid,n_invalid,n_imputed_iterations,pct_iterations_imputed,lambda_mean,lambda_median,lambda_ci_lower,lambda_ci_upper,p_decline,change_vs_impute_pp
impute_missing_survival_classes,2000,2000,0,43,2.15,0.9539546200214046,0.9593359798012899,0.815716655508045,1.0102506116031893,0.943,0
discard_missing_survival_classes,2000,1957,43,43,2.15,0.9533404413876259,0.9591291307988596,0.8120064585291404,1.009313435868865,0.9468574348492591,-0.061417863377877246
