region,n_observations,n_studies,n_sites,year_range,mean_survival
Florida Keys,6222,4,24,NA-NA,0.7720990035358406
Curacao,856,1,4,2007-2015,0.8457943925233645
Navassa,102,1,2,2009-2012,0.9215686274509803
Mexican Caribbean,52,1,3,2016-2021,1
US Virgin Islands,46,1,3,2020-2021,0.6521739130434783
Dominican Republic,44,1,1,2021-2021,0.8636363636363636
Dry Tortugas,24,1,2,2019-2019,1
