study,analysis_subset,region,n_records,n_size_classes,n_shrinkage,shrinkage_frequency,shrinkage_ci_lower,shrinkage_ci_upper,mean_tissue_loss_cm2_yr,median_tissue_loss_cm2_yr,mean_net_growth_cm2_yr,median_size_cm2,mean_size_cm2,pct_positive_growth,pct_live_tissue_growth_source,shrinkage_frequency_pct
NOAA_survey,all_clean,Curacao; Florida Keys; Navassa,3396,5,1492,0.43934040047114253,0.4225592390347753,0.4562261187884288,1728.0062037424334,490.51056803418396,-285.7783104084717,1668.5,4950.732720848034,54.77031802120141,99.94110718492344,43.93404004711425
neely_et_al_2022,all_clean,Florida Keys,1524,5,554,0.36351706036745407,0.3393218518770848,0.3882394494930277,918.7774733635619,272.5754428593142,87.97574528816277,778.0050000000001,2648.274478710995,62.72965879265092,100,36.351706036745405
mendoza_quiroz_et_al_2023,all_clean,Mexican Caribbean,42,4,8,0.19047619047619047,0.0860055944559322,0.34118441360415663,332.9375,256,1.905091333006908,89.161981384121,246.18496585639562,80.95238095238095,0,19.047619047619047
pausch_et_al_2018,all_clean,Florida Keys,534,2,96,0.1797752808988764,0.14811683272045734,0.2150253830034109,48.15838293441635,38.27244764397905,46.655014453107064,52.5,62.67235955056176,82.02247191011236,99.812734082397,17.97752808988764
fundemar_fragments,all_clean,Dominican Republic,84,2,6,0.07142857142857142,0.026663004031836825,0.14901230864040416,10.613651305460971,8.73760569886241,43.830304993766994,29.052,30.30485714285714,92.85714285714286,100,7.142857142857142
kuffner_et_al_2020,all_clean,Dry Tortugas; Florida Keys,31,1,2,0.06451612903225806,0.007910983461854712,0.21421615716340225,2.28125,2.28125,27.09241935483871,18,19.45967741935484,93.54838709677419,0,6.451612903225806
USGS_USVI_exp,all_clean,US Virgin Islands,26,2,0,0,0,0.13227460449775408,NA,NA,104.7173076923077,61.25,81.47211538461539,100,100,0
NOAA_survey,matrix_compatible,Curacao; Florida Keys,3218,5,1446,0.4493474207582349,0.43205828719269135,0.4667287159888429,1763.042562076601,522.0814326847265,-327.49795292209376,1673.5,4926.0478371659465,53.79117464263518,99.96892479801119,44.93474207582349
neely_et_al_2022,matrix_compatible,Florida Keys,1245,5,457,0.3670682730923695,0.34023319604673785,0.39453288524541386,793.5545715480823,277.5471554252208,153.24210860629907,882,2842.694995983935,62.570281124497996,100,36.70682730923695
fundemar_fragments,matrix_compatible,Dominican Republic,15,1,3,0.2,0.04331200510583661,0.480891133806853,12.358789097408414,7.34892761394102,33.03318498659518,21.232,24.079533333333334,80,100,20
mendoza_quiroz_et_al_2023,matrix_compatible,Mexican Caribbean,42,4,8,0.19047619047619047,0.0860055944559322,0.34118441360415663,332.9375,256,1.905091333006908,89.161981384121,246.18496585639562,80.95238095238095,0,19.047619047619047
pausch_et_al_2018,matrix_compatible,Florida Keys,534,2,96,0.1797752808988764,0.14811683272045734,0.2150253830034109,48.15838293441635,38.27244764397905,46.655014453107064,52.5,62.67235955056176,82.02247191011236,99.812734082397,17.97752808988764
kuffner_et_al_2020,matrix_compatible,Dry Tortugas; Florida Keys,31,1,2,0.06451612903225806,0.007910983461854712,0.21421615716340225,2.28125,2.28125,27.09241935483871,18,19.45967741935484,93.54838709677419,0,6.451612903225806
USGS_USVI_exp,matrix_compatible,US Virgin Islands,26,2,0,0,0,0.13227460449775408,NA,NA,104.7173076923077,61.25,81.47211538461539,100,100,0
