"","SC1","SC2","SC3","SC4","SC5"
"SC1",0.00127517946958582,0.000800970086779683,0.000972702191073604,0.000508225091363049,0.000384252799182594
"SC2",0.002666150168399,0.00867035227331565,0.00216403711552501,0.00118355992418157,0.0057770883556443
"SC3",0,0.01050287527156,0.0583271074719333,0.0102053441719863,0.0264289334931496
"SC4",0,0.000486990205410195,0.044000413630097,0.139931341678322,0.0333284203093971
"SC5",0,0,0,0.0659186949573735,0.586467361335721
