outcome,model,term,estimate,std_error,statistic,p_value,effect_type,effect,ci_lower,ci_upper,domain,lag_family,lag_window
survival,window,acute_recent,0.5610925418983185,0.08487934848864885,6.610471827235513,3.8309702240978376e-11,odds_ratio,1.752586228576713,1.4839820052963222,2.069808446217255,survival,acute_exclusion,recent_0_1
survival,window,acute_delayed,0.33011323159389483,0.08079590312978976,4.08576696102529,4.3931455450357526e-5,odds_ratio,1.3911256389194349,1.1873848234686477,1.6298259039607008,survival,acute_exclusion,delayed_2_3
survival,window,context_recent,0.03188814990184046,0.05474758124374098,0.5824576936078993,0.5602584301766758,odds_ratio,1.0324020245791843,0.9273565965523705,1.1493463726011321,survival,context_pressure,recent_0_1
survival,window,context_delayed,-0.019836830189755947,0.05616961532469764,-0.3531594452816867,0.723968909409627,odds_ratio,0.9803586251875843,0.8781575353393283,1.094454007740549,survival,context_pressure,delayed_2_3
survival,window,catastrophic_recent,-2.2091484863741155,0.30154805733917367,-7.3260246007465435,2.370802908696342e-13,odds_ratio,0.10979409989440536,0.06079895493304982,0.1982722299239687,survival,catastrophic,recent_0_1
survival,window,catastrophic_delayed,-16.91009097502604,617.0418267984769,-0.02740509677077175,0.9781366331416048,odds_ratio,4.529401306889837e-8,0,Inf,survival,catastrophic,delayed_2_3
survival,unconstrained,acute_l0,0.3273855666348546,0.10831938701473763,3.0224097057557335,0.002507708841570142,odds_ratio,1.3873362846544035,1.121962706445495,1.7154776675388423,survival,acute_exclusion,lag0
survival,unconstrained,acute_l1,0.7860508222771373,0.1262297569949857,6.2271435910976365,4.750157352443621e-10,odds_ratio,2.1947119816691636,1.7136755334780516,2.810777529574784,survival,acute_exclusion,lag1
survival,unconstrained,acute_l2,1.1319821035700752,0.13524614209054536,8.369792188321567,5.771993481246625e-17,odds_ratio,3.101798496951398,2.3795220901755063,4.043313552504286,survival,acute_exclusion,lag2
survival,unconstrained,acute_l3,-0.031113481472162443,0.09940118081874469,-0.3130091736927856,0.7542736925164958,odds_ratio,0.9693655618030064,0.7977661290301726,1.1778760193190887,survival,acute_exclusion,lag3
survival,unconstrained,context_l0,0.21331288997378048,0.108941629225669,1.9580475479388129,0.05022443364359714,odds_ratio,1.237771877071065,0.9997873193112142,1.5324051326471382,survival,context_pressure,lag0
survival,unconstrained,context_l1,-0.04893587961690166,0.13697721904964866,-0.3572556075851153,0.7209004600026213,odds_ratio,0.9522421858747719,0.7280313060062443,1.245503006641017,survival,context_pressure,lag1
survival,unconstrained,context_l2,0.18410326114671935,0.18913163526227256,0.9734133630866129,0.3303479000287278,odds_ratio,1.2021399510372557,0.8297799415833215,1.7415948367254468,survival,context_pressure,lag2
survival,unconstrained,context_l3,-0.2755781786851394,0.16901598189958783,-1.6304859196620827,0.10299883868859401,odds_ratio,0.7591330817479363,0.5450653936281776,1.0572732052720206,survival,context_pressure,lag3
survival,unconstrained,catastrophic_l0,-2.0991951750874214,0.31722042423040164,-6.617465379728345,3.6540975556687206e-11,odds_ratio,0.12255502390794294,0.06581238696771628,0.22822046999213488,survival,catastrophic,lag0
survival,unconstrained,catastrophic_l1,-3.1449173027211876,0.9075527297637898,-3.4652722641688496,5.296949332102219e-4,odds_ratio,0.04307048571152437,0.0072720237725613195,0.2550963524660263,survival,catastrophic,lag1
survival,unconstrained,catastrophic_l3,-15.538904367014162,29.75952727636179,-0.5221488978205923,0.6015666631445709,odds_ratio,1.784594616691271e-7,8.312249250056419e-33,3831427391210472400,survival,catastrophic,lag3
positive_growth,window,acute_recent,-0.21557475119130773,0.04482003826581598,-4.809785076772804,1.510926665176376e-6,odds_ratio,0.8060780127142465,0.7382874539714528,0.8800931928154817,growth,acute_exclusion,recent_0_1
positive_growth,window,acute_delayed,0.12807479773926128,0.04940509557854778,2.5923398434810987,0.009532555404166355,odds_ratio,1.1366380174716295,1.0317339262389258,1.2522084908766018,growth,acute_exclusion,delayed_2_3
positive_growth,window,context_recent,-0.2596141332548175,0.04037780690330677,-6.429624419090385,1.2791961809363603e-10,odds_ratio,0.7713491663788798,0.7126572889472159,0.8348746946128,growth,context_pressure,recent_0_1
positive_growth,window,context_delayed,0.0824619692468426,0.03910155034420922,2.1089181508388677,0.034951647194576156,odds_ratio,1.0859573728769285,1.0058399167862606,1.172456368080648,growth,context_pressure,delayed_2_3
positive_growth,window,catastrophic_recent,-1.0356651445446274,0.323050322327135,-3.2058941686981735,0.001346434985303518,odds_ratio,0.35499018259729426,0.18846484723425827,0.668655357164948,growth,catastrophic,recent_0_1
positive_growth,window,catastrophic_delayed,-12.541245656045922,33.04970581297549,-0.37946618124274384,0.7043417131315018,odds_ratio,3.576071680233334e-6,2.635898504564961e-34,4851586144162836e7,growth,catastrophic,delayed_2_3
positive_growth,unconstrained,acute_l0,-0.22923827548817577,0.06681228282954976,-3.4310798221489325,6.011836719406071e-4,odds_ratio,0.7951390487861913,0.6975435361367845,0.9063894569307989,growth,acute_exclusion,lag0
positive_growth,unconstrained,acute_l1,-0.20447318315961116,0.06843821818781931,-2.9877046564605543,0.00281081034087452,odds_ratio,0.815076599403504,0.7127588811923301,0.932082195571987,growth,acute_exclusion,lag1
positive_growth,unconstrained,acute_l2,0.31423351121576065,0.0710602527859712,4.422071395695865,9.775913987826558e-6,odds_ratio,1.3692094249779634,1.1911931069834227,1.5738291620878018,growth,acute_exclusion,lag2
positive_growth,unconstrained,acute_l3,-0.0029736143713410316,0.06934133288912189,-0.04288372097051981,0.9657942255959872,odds_ratio,0.9970308024408236,0.8703301758716417,1.1421762091843184,growth,acute_exclusion,lag3
positive_growth,unconstrained,context_l0,0.03414784138098576,0.08362623641310599,0.40833885208343634,0.6830249192287131,odds_ratio,1.0347375724521766,0.878306566257145,1.2190297613359249,growth,context_pressure,lag0
positive_growth,unconstrained,context_l1,-0.6406743260919,0.11064639373817917,-5.790286555637029,7.026644040751021e-9,odds_ratio,0.5269369768605788,0.42420380892282405,0.6545499397754857,growth,context_pressure,lag1
positive_growth,unconstrained,context_l2,0.10003674426406861,0.13484230677566217,0.7418795084134852,0.45816034229641284,odds_ratio,1.1052115275137797,0.8485263185801087,1.4395458264551426,growth,context_pressure,lag2
positive_growth,unconstrained,context_l3,0.17665588124508053,0.11123499410015569,1.5881322480767162,0.11225643754770963,odds_ratio,1.1932204129469675,0.9594791371880776,1.4839040253089344,growth,context_pressure,lag3
positive_growth,unconstrained,catastrophic_l0,-1.1643701184042603,0.35130601785193855,-3.3144041355277776,9.1838665091748e-4,odds_ratio,0.31211919826753587,0.15677714926813335,0.6213813325598637,growth,catastrophic,lag0
positive_growth,unconstrained,catastrophic_l1,0.5232265184339536,1.1591376489981602,0.45139291169273726,0.6517063911645584,odds_ratio,1.6874635076492033,0.17400290689702072,16.36485930279886,growth,catastrophic,lag1
positive_growth,unconstrained,catastrophic_l3,-13.248585136616315,535.3879851148813,-0.024745764763050276,0.980257751241323,odds_ratio,1.7628387244915353e-6,0,Inf,growth,catastrophic,lag3
rgr,window,acute_recent,-0.10688860409822838,0.06790371125962923,-1.5741202080920256,NA,additive,-0.10688860409822838,-0.23997987816710165,0.026202669970644896,growth,acute_exclusion,recent_0_1
rgr,window,acute_delayed,-0.06661191200278178,0.07481842241501482,-0.8903143083302151,NA,additive,-0.06661191200278178,-0.21325601993621085,0.08003219593064727,growth,acute_exclusion,delayed_2_3
rgr,window,context_recent,-0.12975095090529945,0.06114423981886746,-2.1220470037679955,NA,additive,-0.12975095090529945,-0.24959366095027968,-0.009908240860319231,growth,context_pressure,recent_0_1
rgr,window,context_delayed,0.03840588643944882,0.05895544752470237,0.6514391468804765,NA,additive,0.03840588643944882,-0.07714679070896782,0.15395856358786547,growth,context_pressure,delayed_2_3
rgr,window,catastrophic_recent,-0.5256479418929699,0.46918333486450625,-1.1203465742123384,NA,additive,-0.5256479418929699,-1.4452472782274022,0.3939513944414623,growth,catastrophic,recent_0_1
rgr,window,catastrophic_delayed,-2.3188988473059458,3.1644878408147563,-0.7327880415267773,NA,additive,-2.3188988473059458,-8.521295015302869,3.8834973206909766,growth,catastrophic,delayed_2_3
rgr,unconstrained,acute_l0,-0.07291173400223257,0.10247823146400473,-0.7114850925959106,NA,additive,-0.07291173400223257,-0.27376906767168185,0.1279455996672167,growth,acute_exclusion,lag0
rgr,unconstrained,acute_l1,-0.1489506196342311,0.10365583839342635,-1.4369727932631071,NA,additive,-0.1489506196342311,-0.3521160628853467,0.05421482361688454,growth,acute_exclusion,lag1
rgr,unconstrained,acute_l2,0.015675006360957276,0.10704162472898336,0.14643841963950496,NA,additive,0.015675006360957276,-0.1941265781078501,0.22547659082976468,growth,acute_exclusion,lag2
rgr,unconstrained,acute_l3,-0.09620119655699536,0.10534633140785356,-0.9131898118459165,NA,additive,-0.09620119655699536,-0.30268000611638834,0.1102776130023976,growth,acute_exclusion,lag3
rgr,unconstrained,context_l0,-0.01585056552675843,0.1277410900075877,-0.1240835311943629,NA,additive,-0.01585056552675843,-0.26622310194163035,0.23452197088811347,growth,context_pressure,lag0
rgr,unconstrained,context_l1,-0.21274677778788573,0.16933374289869146,-1.256375570196705,NA,additive,-0.21274677778788573,-0.544640913869321,0.11914735829354953,growth,context_pressure,lag1
rgr,unconstrained,context_l2,-0.17957856547193116,0.20110189753703372,-0.8929730035931712,NA,additive,-0.17957856547193116,-0.5737382846445173,0.21458115370065492,growth,context_pressure,lag2
rgr,unconstrained,context_l3,0.23842686573434524,0.1602729653894658,1.4876299640114865,NA,additive,0.23842686573434524,-0.07570814642900775,0.5525618778976982,growth,context_pressure,lag3
rgr,unconstrained,catastrophic_l0,-0.5301672014476576,0.48964059461921655,-1.0827680696286177,NA,additive,-0.5301672014476576,-1.489862766901322,0.4295283640060068,growth,catastrophic,lag0
rgr,unconstrained,catastrophic_l1,-0.08633959372088491,1.5856652067648518,-0.054450077704006,NA,additive,-0.08633959372088491,-3.1942433989799945,3.0215642115382244,growth,catastrophic,lag1
