"disturbance_type","size_class","survival_multiplier","provenance"
"disease","SC1",0.675,"37b disease/predation (Neely 2014-15 compound); large-favoring"
"disease","SC2",0.416,"37b disease/predation (Neely 2014-15 compound); large-favoring"
"disease","SC3",0.584,"37b disease/predation (Neely 2014-15 compound); large-favoring"
"disease","SC4",0.76,"37b disease/predation (Neely 2014-15 compound); large-favoring"
"disease","SC5",0.918,"37b disease/predation (Neely 2014-15 compound); large-favoring"
"storm","SC1",1,"37b storm; flattened (branch breakage)"
"storm","SC2",0.997,"37b storm; flattened (branch breakage)"
"storm","SC3",0.981,"37b storm; flattened (branch breakage)"
"storm","SC4",0.908,"37b storm; flattened (branch breakage)"
"storm","SC5",0.922,"37b storm; flattened (branch breakage)"
"thermal_moderate","SC1",1.029,"37b heatwave DHW<10; gradient persists ~ baseline"
"thermal_moderate","SC2",0.943,"37b heatwave DHW<10; gradient persists ~ baseline"
"thermal_moderate","SC3",0.987,"37b heatwave DHW<10; gradient persists ~ baseline"
"thermal_moderate","SC4",0.995,"37b heatwave DHW<10; gradient persists ~ baseline"
"thermal_moderate","SC5",0.99,"37b heatwave DHW<10; gradient persists ~ baseline"
"thermal_catastrophic","SC1",0.05,"Manzello 2025 Science; DHW>20 flat collapse (external)"
"thermal_catastrophic","SC2",0.05,"Manzello 2025 Science; DHW>20 flat collapse (external)"
"thermal_catastrophic","SC3",0.05,"Manzello 2025 Science; DHW>20 flat collapse (external)"
"thermal_catastrophic","SC4",0.05,"Manzello 2025 Science; DHW>20 flat collapse (external)"
"thermal_catastrophic","SC5",0.05,"Manzello 2025 Science; DHW>20 flat collapse (external)"
