disturbance_label,n,n_survived,surv_rate,ci_lower,ci_upper
Baseline exclusion (compound),175,137,0.7828571428571428,0.7160502021679581,0.8375127169270883
Baseline exclusion (disease_2014),639,340,0.5320813771517997,0.4933173513878071,0.5704619824392541
Baseline exclusion (disease_2014_aftermath),375,230,0.6133333333333333,0.5631323014495782,0.6612359613709664
Context regime (compound),1015,873,0.8600985221674877,0.8373975500475386,0.8800840499318443
Non-disturbance,11,11,1,0.7411670330319684,1
All intervals (Neely),2215,1591,0.7182844243792325,0.6991855937663917,0.7366274275541836
Non-disturbance only (Neely),1201,1021,0.8501248959200666,0.8288223843653443,0.8691947645657488
