region,n_years,mean_survival,sd_survival,cv_survival,min_survival,max_survival,survival_range,total_n
Florida Keys,18,0.8184760495829954,0.12315468264846656,0.15046827907940927,0.6417910447761194,1,0.35820895522388063,6211
Curacao,9,0.842741938077025,0.11893293756478467,0.14112616471439257,0.5483870967741935,0.9279279279279279,0.3795408311537344,856
