file_name,path,exists,file_role,description,modified_time,file_size_bytes,md5,n_rows,n_cols,n_studies,n_regions,min_year,max_year,missing_required_columns,duplicate_key_rows
apal_surv_ind.csv,/Users/adrianstier/Detmer-2025-coral-parameters/05_data/standardized/apal_surv_ind.csv,TRUE,canonical_input,Individual-level survival observations,2026-04-04 16:13:58,1582382,d2eb3bf7dfb5284731c306ed6954acd8,7842,21,7,7,2004,2024,,480
apal_growth_ind.csv,/Users/adrianstier/Detmer-2025-coral-parameters/05_data/standardized/apal_growth_ind.csv,TRUE,canonical_input,Individual-level growth observations,2026-04-04 16:13:58,1370647,699910ccf610a00e1480122d32c6cd47,6318,22,7,7,2004,2024,,423
apal_surv_summ.csv,/Users/adrianstier/Detmer-2025-coral-parameters/05_data/standardized/apal_surv_summ.csv,TRUE,canonical_input,Summary-level survival observations,2026-03-30 00:35:04,102499,e247670e5b9f6a2819b646c48501b52c,332,23,19,12,1980,2022,,272
apal_growth_summ.csv,/Users/adrianstier/Detmer-2025-coral-parameters/05_data/standardized/apal_growth_summ.csv,TRUE,canonical_input,Summary-level growth observations,2026-03-30 00:34:44,3812,6dd396e1494071b664b93251ddecf4a0,15,26,5,5,2013,2021,,3
apal_fragmentation.csv,/Users/adrianstier/Detmer-2025-coral-parameters/05_data/standardized/apal_fragmentation.csv,TRUE,canonical_input,Fragmentation inputs used in matrix parameterization,2026-03-30 00:34:44,4295,934e347be41ff6a8ddab70720650a788,13,23,1,4,2007,2011,,0
apal_surv_lab_short.csv,/Users/adrianstier/Detmer-2025-coral-parameters/05_data/standardized/apal_surv_lab_short.csv,TRUE,canonical_input,Short-term larval and settler survival table,2026-03-30 00:34:44,1040,1496d9d7dc7807c67134af3f4fe5f3c7,6,11,2,2,2008,2012,,2
apal_disturbance_stressor_timeline.csv,/Users/adrianstier/Detmer-2025-coral-parameters/05_data/standardized/apal_disturbance_stressor_timeline.csv,TRUE,curated_support,Curated disturbance and chronic-stressor timeline,2026-04-02 23:22:18,3890,4be3008331e3c64103d4e525220bc0b4,18,13,NA,10,1961,2023,,0
caribbean_disturbance_events.csv,/Users/adrianstier/Detmer-2025-coral-parameters/05_data/standardized/caribbean_disturbance_events.csv,TRUE,curated_support,Legacy Caribbean disturbance event table,2026-04-02 07:13:50,29114,9e43bec6db12e760e69e02b3515bef1a,93,10,NA,13,1979,2024,,0
ibtracs_storm_exposure.csv,/Users/adrianstier/Detmer-2025-coral-parameters/05_data/standardized/ibtracs_storm_exposure.csv,TRUE,generated_support,Storm exposure support table joined from IBTrACS,2026-04-03 14:15:59,70786,b50555fa4a3fb099cac99a7da9c5ec95,616,12,NA,15,1979,2025,,8
literature_disturbance_evidence.csv,/Users/adrianstier/Detmer-2025-coral-parameters/05_data/standardized/literature_disturbance_evidence.csv,TRUE,generated_support,Literature disturbance evidence with scope flags,2026-04-03 14:16:02,8513,9b256bde561c4afe8b37aeef3dc27e5e,41,10,NA,15,1961,2023,,0
literature_disturbance_evidence_analysis.csv,/Users/adrianstier/Detmer-2025-coral-parameters/05_data/standardized/literature_disturbance_evidence_analysis.csv,TRUE,generated_support,Analysis subset of disturbance evidence,2026-04-03 14:16:02,7586,1c489c06520bfc961b95e217754a7dd7,37,10,NA,13,1961,2023,,0
apal_life_history_parameters.csv,/Users/adrianstier/Detmer-2025-coral-parameters/05_data/standardized/apal_life_history_parameters.csv,TRUE,generated_support,Literature life-history parameters with scope flags,2026-04-03 14:16:02,8790,e6d4f695823119413e2de48d86347195,42,10,NA,12,NA,NA,Category,NA
apal_life_history_parameters_analysis.csv,/Users/adrianstier/Detmer-2025-coral-parameters/05_data/standardized/apal_life_history_parameters_analysis.csv,TRUE,generated_support,Analysis subset of life-history parameters,2026-04-03 14:16:02,8294,aadc747960daf73d90b4c8ab85b61143,40,10,NA,12,NA,NA,Category,NA
restoration_subtype_mapping.csv,/Users/adrianstier/Detmer-2025-coral-parameters/05_data/standardized/restoration_subtype_mapping.csv,TRUE,generated_support,Study-level restoration subtype mapping,2026-04-03 14:16:20,1148,469644c08c737c183d8cdc804a62c7df,5,6,5,NA,NA,NA,,0
