size_class,n,n_survived,survival_rate,mean_size
SC1,94,53,0.5638297872340425,5.320740958321758
SC2,1596,1073,0.6723057644110275,49.18434003258218
SC3,1225,977,0.7975510204081633,350.2392909405559
SC4,946,865,0.9143763213530656,2078.4043446088795
SC5,1270,1207,0.9503937007874016,12235.343692913388
