model,log_odds_slope_per_year,std_error,z_value,p_value,odds_ratio_per_year
unadjusted_glm,-0.11386286138939697,0.008294947416193786,-13.726773139888572,7.01906856918042e-43,0.8923803272895081
study_adjusted_glm,-0.12019401456671261,0.010739892133342711,-11.191361428441379,4.49478587477013e-29,0.8867483779244151
mixed_model_glmer,-0.11928023748743327,0.00966944061362771,-12.335795032374946,5.811247475809685e-35,0.8875590385924116
