stage,n_before,n_removed,pct_removed,n_after,reason
raw_data,5895,0,0,5895,initial load
remove_impossible_values,5895,258,4.3765903307888046,5637,tissue loss > initial size (impossible_growth flag)
remove_extreme_outliers,5637,977,17.331914138726273,4660,pct_change outside -50% to 200% range
