to_state,from_state,probability
SC1,SC1,0.0777069955417133
SC2,SC1,0.824043721603635
SC3,SC1,0.0061474364242791076
SC4,SC1,0.0041275228025441845
SC5,SC1,0.009122689245348451
Dead,SC1,0.07885163438247988
SC1,SC2,0.003463336661866067
SC2,SC2,0.5619638362978059
SC3,SC2,0.38879040728783876
SC4,SC2,2.092370723722249e-5
SC5,SC2,1.1415556813355176e-5
Dead,SC2,0.04575008048843876
SC1,SC3,8.26296035045441e-4
SC2,SC3,0.08158786577535308
SC3,SC3,0.7348725787463645
SC4,SC3,0.15326727374888824
SC5,SC3,1.9055290255588776e-5
Dead,SC3,0.029426930404093055
SC1,SC4,1.6262995621549512e-4
SC2,SC4,0.015462032864518893
SC3,SC4,0.1243153479269546
SC4,SC4,0.6269055437661781
SC5,SC4,0.2192524702408983
Dead,SC4,0.01390197524523451
SC1,SC5,1.0479782558561848e-5
SC2,SC5,0.0015168524163638644
SC3,SC5,0.004372693486375347
SC4,SC5,0.04419565142425288
SC5,SC5,0.9427278460955484
Dead,SC5,0.007176476794900966
SC1,Dead,0
SC2,Dead,0
SC3,Dead,0
SC4,Dead,0
SC5,Dead,0
Dead,Dead,1
