study,region,n,n_survived,n_died,survival_rate,mean_size,median_size,fragment_pct,population_type,year_min,year_max,needs_correction,n_survived_adj,n_died_adj,n_adj,log_odds,var_log_odds,se_log_odds,weight,log_odds_lower,log_odds_upper,prob_lower,prob_upper
NOAA_survey,Curacao/Florida Keys/Navassa,3968,3456,512,0.8709677419354839,4520.231665826602,1257.3,2.368951612903226,Natural colony,2004,2024,FALSE,3456,512,3968,1.9095425048844386,0.002242476851851852,0.047354797558978666,445.93548387096774,1.8167271016688404,2.002357908100037,0.8601729415533864,0.8810444210032883
USGS_USVI_exp,US Virgin Islands,46,30,16,0.6521739130434783,59.47391304347828,25.3125,100,Restoration fragment,2020,2021,FALSE,30,16,46,0.6286086594223741,0.09583333333333333,0.30956959368344517,10.434782608695652,0.021852255802821574,1.2353650630419266,0.5054628465670676,0.7747562061011825
fundemar_fragments,Dominican Republic,44,38,6,0.8636363636363636,20.10218181818182,18.7635,100,Restoration fragment,2021,2021,FALSE,38,6,44,1.8458266904983307,0.19298245614035087,0.4392976851069794,5.1818181818181825,0.984803227688651,2.7068501533080105,0.7280602413546597,0.9374296477716106
kuffner_et_al_2020,Dry Tortugas/Florida Keys,53,43,10,0.8113207547169812,17.58254716981132,16.5,100,Restoration fragment,2019,2019,FALSE,43,10,53,1.4586150226995167,0.12325581395348838,0.35107807387173634,8.11320754716981,0.7705019979109134,2.14672804748812,0.6836294759597024,0.8953626292214848
mendoza_quiroz_et_al_2023,Mexican Caribbean,52,52,0,1,202.69907200508985,31.653370159445103,0,Natural colony,2016,2021,TRUE,52.5,0.5,53,4.653960350157523,2.019047619047619,1.4209319544044392,0.49528301886792453,1.8689337195248221,7.438986980790224,0.8663348517161735,0.9994124649701732
neely_et_al_2022,Florida Keys,2215,1591,624,0.7182844243792325,2071.6697536995225,478.8266666666666,0,Natural colony,NA,NA,FALSE,1591,624,2215,0.9359676599683592,0.002231099614820545,0.047234517196860865,448.2094808126411,0.8433880062625119,1.0285473136742065,0.6991782891266733,0.7366341653765236
pausch_et_al_2018,Florida Keys,968,556,412,0.5743801652892562,63.767267561983566,52.5,100,Restoration fragment,2015,2016,FALSE,556,412,968,0.299744944901056,0.004225745617098554,0.06500573526311777,236.64462809917356,0.17233370378534518,0.42715618601676686,0.542977114120157,0.6051943878479833
