"","SC1","SC2","SC3","SC4","SC5"
"SC1",0.322053033272993,0.164108258288385,0.120391771985947,0.094627995624179,0.0478504849851364
"SC2",0.322053033272993,0.452209422839105,0.0426165564552025,0.0486775345749151,0.211655384615385
"SC3",0.029277548479363,0.202400185222342,0.573192684322474,0.132746805419895,0.325154057981101
"SC4",0.0146387742396815,0.0054702752762795,0.137438394568028,0.636230104876245,0.116694751097576
"SC5",0,0,0,0.131266806024653,0.873597418577825
