study,n_impossible,n_total,pct_impossible
fundemar_fragments,93,177,52.54
kuffner_et_al_2020,12,43,27.91
mendoza_quiroz_et_al_2023,10,52,19.23
USGS_USVI_exp,4,30,13.33
pausch_et_al_2018,23,557,4.13
neely_et_al_2022,46,1570,2.93
NOAA_survey,70,3466,2.02
