moderator,raw_p,fdr_p,significant_raw,significant_fdr
Mean colony size (log),0.7649487496089024,0.854169692147449,FALSE,FALSE
Fragment percentage,0.37166649828385767,0.5946663972541723,FALSE,FALSE
Study year (most recent),0.2049986753889863,0.5466631343706301,FALSE,FALSE
Mortality definition,0.854169692147449,0.854169692147449,FALSE,FALSE
Population type (natural vs restoration),0.15296359810983726,0.5466631343706301,FALSE,FALSE
Log colony size (cm^2),0.12926689094304272,0.5466631343706301,FALSE,FALSE
Study year,0.28524908217575795,0.5704981643515159,FALSE,FALSE
Region (categorical),0.5271157116255192,0.7028209488340256,FALSE,FALSE
