colony_uid,study,region,population_type,n_intervals,followup_years,death_event,shrink_events,ever_shrunk,mean_timeline_events,prop_acute_exposure
NOAA_survey::GR1-t832,NOAA_survey,Florida Keys,Natural colony,5,4.528767123287674,1,3,1,2.6,0
NOAA_survey::GR1-t833,NOAA_survey,Florida Keys,Natural colony,5,4.528767123287674,1,2,1,2.6,0
NOAA_survey::GR1-t834,NOAA_survey,Florida Keys,Natural colony,2,2.07123287671233,1,1,1,2,0
NOAA_survey::GR1-t835,NOAA_survey,Florida Keys,Natural colony,5,4.528767123287674,1,1,1,2.6,0
NOAA_survey::GR1-t836,NOAA_survey,Florida Keys,Natural colony,5,4.528767123287674,1,2,1,2.6,0
NOAA_survey::GR1-t837,NOAA_survey,Florida Keys,Natural colony,2,2.07123287671233,0,0,0,2,0
NOAA_survey::GR1-t838,NOAA_survey,Florida Keys,Natural colony,2,2.07123287671233,1,0,0,2,0
NOAA_survey::GR1-t889,NOAA_survey,Florida Keys,Natural colony,1,2.049315068493152,1,1,1,3,0
NOAA_survey::GR1-t889,NOAA_survey,Florida Keys,Restoration fragment,1,1.1013698630137,0,0,0,3,0
NOAA_survey::GR1-t890,NOAA_survey,Florida Keys,Natural colony,2,2.049315068493152,0,0,0,3,0
NOAA_survey::GR1-t891,NOAA_survey,Florida Keys,Restoration fragment,2,2.049315068493152,0,1,1,3,0
NOAA_survey::GR2-t415,NOAA_survey,Florida Keys,Natural colony,1,0.928767123287671,0,1,1,3,0
NOAA_survey::GR2-t429,NOAA_survey,Florida Keys,Natural colony,1,1.03013698630137,0,1,1,3,0
NOAA_survey::GR2-t430,NOAA_survey,Florida Keys,Natural colony,1,1.03013698630137,0,1,1,3,0
NOAA_survey::GR2-t431,NOAA_survey,Florida Keys,Natural colony,1,1.03013698630137,0,0,0,3,0
NOAA_survey::GR2-t467,NOAA_survey,Florida Keys,Natural colony,2,2.06575342465753,1,0,0,3.5,0.5
NOAA_survey::GR2-t839,NOAA_survey,Florida Keys,Natural colony,4,3.767123287671238,1,1,1,2.5,0
NOAA_survey::GR2-t840,NOAA_survey,Florida Keys,Natural colony,6,5.5452054794520595,1,3,1,2.6666666666666665,0
NOAA_survey::GR2-t841,NOAA_survey,Florida Keys,Natural colony,6,5.5452054794520595,1,3,1,2.6666666666666665,0
NOAA_survey::GR2-t842,NOAA_survey,Florida Keys,Natural colony,2,2.087671232876714,1,0,0,2,0
NOAA_survey::GR2-t843,NOAA_survey,Florida Keys,Natural colony,1,1.1013698630137,0,0,0,2,0
