"size_class","survival_elasticity","fragmentation_elasticity"
"SC1",0.00394132963798482,0
"SC2",0.0204611878370655,0
"SC3",0.105464260408629,0
"SC4",0.212173108528858,0.00557405729436906
"SC5",0.599383874187555,0.0530021821055394
