moderator,model_type,k_effects,k_parent_studies,null_tau2_total,model_tau2_total,R2_pct,qm,qmp
Population type (natural vs restoration),three_level_rma.mv,22,17,0.6233038324922232,0.6116137921366571,1.8754963063237609,1.4768509063787107,0.23841977461365793
Log colony size (cm^2),three_level_rma.mv,17,12,0.5077465070069261,0.4456675952794885,12.226359191199872,1.7254376772639077,0.20873229990252987
Study year,three_level_rma.mv,22,17,0.6233038324922232,0.6233878188905302,0,0.8267941263520414,0.37402913557573414
Region (categorical),three_level_rma.mv,22,17,0.6233038324922232,0.5976038766045932,4.123182715702397,1.1751317413364433,0.4033674414579762
