"half_saturation_h","density_level","rho_col_per_m2","phi","form","anchor"
0.05,"collapsed",0.05,0.5,"phi(rho)=rho/(rho+h)","Baums 2006: sparse 0.13 / dense 0.30 col/m2; h SWEPT (assumption)"
0.05,"sparse",0.13,0.7222,"phi(rho)=rho/(rho+h)","Baums 2006: sparse 0.13 / dense 0.30 col/m2; h SWEPT (assumption)"
0.05,"dense",0.3,0.8571,"phi(rho)=rho/(rho+h)","Baums 2006: sparse 0.13 / dense 0.30 col/m2; h SWEPT (assumption)"
0.05,"reserve",1,0.9524,"phi(rho)=rho/(rho+h)","Baums 2006: sparse 0.13 / dense 0.30 col/m2; h SWEPT (assumption)"
0.1,"collapsed",0.05,0.3333,"phi(rho)=rho/(rho+h)","Baums 2006: sparse 0.13 / dense 0.30 col/m2; h SWEPT (assumption)"
0.1,"sparse",0.13,0.5652,"phi(rho)=rho/(rho+h)","Baums 2006: sparse 0.13 / dense 0.30 col/m2; h SWEPT (assumption)"
0.1,"dense",0.3,0.75,"phi(rho)=rho/(rho+h)","Baums 2006: sparse 0.13 / dense 0.30 col/m2; h SWEPT (assumption)"
0.1,"reserve",1,0.9091,"phi(rho)=rho/(rho+h)","Baums 2006: sparse 0.13 / dense 0.30 col/m2; h SWEPT (assumption)"
0.15,"collapsed",0.05,0.25,"phi(rho)=rho/(rho+h)","Baums 2006: sparse 0.13 / dense 0.30 col/m2; h SWEPT (assumption)"
0.15,"sparse",0.13,0.4643,"phi(rho)=rho/(rho+h)","Baums 2006: sparse 0.13 / dense 0.30 col/m2; h SWEPT (assumption)"
0.15,"dense",0.3,0.6667,"phi(rho)=rho/(rho+h)","Baums 2006: sparse 0.13 / dense 0.30 col/m2; h SWEPT (assumption)"
0.15,"reserve",1,0.8696,"phi(rho)=rho/(rho+h)","Baums 2006: sparse 0.13 / dense 0.30 col/m2; h SWEPT (assumption)"
0.3,"collapsed",0.05,0.1429,"phi(rho)=rho/(rho+h)","Baums 2006: sparse 0.13 / dense 0.30 col/m2; h SWEPT (assumption)"
0.3,"sparse",0.13,0.3023,"phi(rho)=rho/(rho+h)","Baums 2006: sparse 0.13 / dense 0.30 col/m2; h SWEPT (assumption)"
0.3,"dense",0.3,0.5,"phi(rho)=rho/(rho+h)","Baums 2006: sparse 0.13 / dense 0.30 col/m2; h SWEPT (assumption)"
0.3,"reserve",1,0.7692,"phi(rho)=rho/(rho+h)","Baums 2006: sparse 0.13 / dense 0.30 col/m2; h SWEPT (assumption)"
