dist_type,slope,se,ci_lower,ci_upper,p_value,kind
none,0.39449731557705364,0.02141424327829807,0.3525253987515894,0.4364692324025179,8.71985903494191e-76,slope
disease,0.4455179664552581,0.03899113576393994,0.3690953403579358,0.5219405925525804,3.0958541522970613e-30,slope
storm,0.1463392775997807,0.05912965074517838,0.030445162139231055,0.26223339306033033,0.013327787256189902,slope
disease-none,0.05102065087820445,0.044483256058423966,NA,NA,0.251396893990754,contrast
storm-none,-0.24815803797727295,0.06288708171058527,NA,NA,7.943800877885118e-5,contrast
disease-storm,0.2991786888554774,0.07082810722973008,NA,NA,2.3999255669595035e-5,contrast
