size_bin,log_size_mid,size_cm2_mid,agr_var,agr_sd,rgr_var,rgr_sd,n
"(0.682,1.76]",1.2556509651985892,3.5101225984410895,10.143176526578584,3.1848354002332027,0.7414230259031223,0.8610592464535308,14
"(1.76,2.82]",2.475033628493189,11.882106683724565,147.3760021883292,12.139851819043312,0.7994854419878641,0.8941394980582527,79
"(2.82,3.89]",3.494716319488233,32.94094192416103,1123.3923838368576,33.51704616813447,0.9302377613889131,0.9644883417589417,502
"(3.89,4.96]",4.37701328786236,79.59993592298282,4750.446183187177,68.9234806374952,0.6968859362347962,0.8347969431153879,623
"(4.96,6.02]",5.4503351976064245,232.83619896526648,33042.027236603455,181.77466060098547,0.5317993956637073,0.7292457717832221,424
"(6.02,7.09]",6.59017516941828,727.9083660168282,228530.23319689988,478.048358638433,0.40202153142022024,0.634051678824542,529
"(7.09,8.15]",7.625792840096284,2050.405464418466,1085204.8188159545,1041.7316443383845,0.24377051675653974,0.493731219143108,566
"(8.15,9.22]",8.708044635059512,6051.398219956412,5038975.872113346,2244.7663290670916,0.12296334440582983,0.35066129584804456,713
"(9.22,10.3]",9.651347936436549,15542.724595302561,26887597.538586903,5185.325210494218,0.09974212320260906,0.31581976379354265,469
"(10.3,11.4]",10.520579488166305,37070.60024309758,100779218.70837137,10038.885331966461,0.054431566972941624,0.23330573711964656,60
