outcome,holdout_region,n_train,n_test,brier_score,log_loss,auc,accuracy,sensitivity,specificity
survival,Curacao,6479,856,0.13584298853394977,0.4572510113402748,0.622059685250293,0.8352803738317757,0.9682320441988951,0.10606060606060606
survival,Dominican Republic,7291,44,0.13636336363736365,1.883934121537093,0.5,0.8636363636363636,1,0
survival,Dry Tortugas,7311,24,NA,NA,NA,NA,NA,NA
survival,Florida Keys,1124,6211,NA,NA,NA,NA,NA,NA
survival,Mexican Caribbean,7283,52,0.11513704953285055,0.39832978526896784,NA,0.9615384615384616,0.9615384615384616,NA
survival,Navassa,7233,102,0.33741817836647703,0.9589185177500544,0.8218085106382979,0.43137254901960786,0.3829787234042553,1
survival,US Virgin Islands,7289,46,0.34782539130534784,4.805395628847463,0.5,0.6521739130434783,1,0
positive_growth,Curacao,4942,695,0.2585537721090579,0.7223069374745147,0.4902350908424525,0.6129496402877698,1,0
positive_growth,Dominican Republic,5553,84,0.0774911383180557,0.3045077405026451,0.6602564102564102,0.9285714285714286,1,0
positive_growth,Dry Tortugas,5625,12,NA,NA,NA,NA,NA,NA
positive_growth,Florida Keys,952,4685,NA,NA,NA,NA,NA,NA
positive_growth,Mexican Caribbean,5595,42,0.26866468091709556,0.7313387216244568,0.15441176470588236,0.5714285714285714,0.7058823529411765,0
positive_growth,Navassa,5544,93,0.23437343992545148,0.6609533397520956,0.4272342995169082,0.5806451612903226,0.7391304347826086,0.125
positive_growth,US Virgin Islands,5611,26,0.05815926467854745,0.2724318968294064,NA,1,1,NA
