restoration_subtype,subtype_label,n_records,n_studies,n_regions,weighted_survival,ci_lower,ci_upper,mean_of_study_means,median_of_study_means,weighted_mean_size_cm2,baseline_excluded
natural_fragment,Naturally occurring fragments,3968,1,3,0.8709677419354835,0.8457943925233646,0.9215686274509803,0.8812583267024117,0.8764119601328899,4520.984040532118,1058
nursery_outplant,Nursery outplants,1012,2,2,0.5869565217391309,0.5743801652892566,0.8636363636363636,0.7190082644628102,0.7190082644628102,61.882187309225124,764
nursery_outplant_recemented,Nursery outplants after fragmentation / re-cementation,53,1,2,0.8113207547169812,0.6551724137931034,1,0.8275862068965517,0.8275862068965517,17.58254716981132,0
outplanted_colony,Outplanted colonies,46,1,1,0.6521739130434782,0.6521739130434782,0.6521739130434782,0.6521739130434782,0.6521739130434782,59.47391304347828,16
