size_class,k,n_points,total_n,pooled_surv,ci_lo,ci_hi
SC1,7,7,476,0.8942211258697118,0.5430006216009038,0.9836457191154254
SC2,10,10,2174,0.7799648707224237,0.45497214271390196,0.9377032369447557
SC3,10,10,2881,0.7628325682064219,0.555688958708743,0.892146889175811
SC4,7,7,1521,0.9017693032946376,0.7646299777822168,0.962882639709136
SC5,4,4,2208,0.9711779059091508,0.7912034756858884,0.9966736238178661
