"analysis","metric","assessment"
"Leave-one-out (influential studies)","2/3 influential","MODERATE"
"Size boundaries (CV across schemes)","Mean CV = 4.5%","ROBUST"
"Outlier removal (max change)","Max change = 2.6%","ROBUST"
"Model specification (AIC range)","ΔAIC range = 17.2","MODERATE"
"Temporal (max decade change)","Max change = 10.8%","MODERATE"
"Geographic (max region change)","Max change = 19.9%","SENSITIVE"
"Bootstrap (95% CI width)","Width = 31.2%","INFORMATIVE"
