analysis,k,n_total,pooled_survival,ci_lower,ci_upper,I_sq,tau_sq
Tier 1 only (individual),8,7374,0.7959730870730553,0.6813406153090511,0.8768234911684926,98.25766846715581,0.46101400235746637
Tier 1 + 2 (expanded),22,8805,0.7801945049377969,0.701037085786111,0.8430844233773642,97.22676217821336,0.6233038324922232
