data_type,n_individual,n_summary_effective,n_summary_effective_resolved,n_summary_records,n_summary_records_resolved,studies_individual,studies_summary,studies_summary_resolved,overlap_studies_excluded,n_total,pct_individual,pct_summary
Survival,7346,21564,20016,330,328,7,18,17,1,27362,26.8,73.2
Growth,5895,493,488,15,14,7,5,4,1,6383,92.4,7.6
