scenario,recruitment_scenario,n_sims,final_mean,final_median,final_q05,final_q95,p_quasi_extinction,lambda_stochastic,qext_threshold,start_population,annual_recruits_per_mature_colony
iid,conservative,800,0.024889496301897907,0.022605527153452307,0.005586149870127153,0.06277034648297437,1,0.8051300344817619,50,1000,0.0010360000000000002
iid,optimistic,800,0.02384479483815024,0.020860785925997688,0.005567342079659022,0.05902942591189891,1,0.8044631801722947,50,1000,0.00434
iid,zero,800,0.024567510674071542,0.02193669012737931,0.005408465585125869,0.06205636278874517,1,0.8049676226664514,50,1000,0
markov,conservative,800,0.008183389185109639,0.004600868372076874,5.112533562771993e-4,0.026729991769593064,1,0.7815953426559822,50,1000,0.0010360000000000002
markov,optimistic,800,0.007749605133040287,0.0043778915875385205,4.684988759656928e-4,0.026429658503919897,1,0.7805801172277642,50,1000,0.00434
markov,zero,800,0.007464014034923045,0.004248993379913213,5.328197471142703e-4,0.025429735705903206,1,0.7803779272001001,50,1000,0
none_only,conservative,800,0.045497982546169546,0.045497982546169546,0.045497982546169546,0.045497982546169546,1,0.8187660808827728,50,1000,0.0010360000000000002
none_only,optimistic,800,0.046427185100415436,0.046427185100415436,0.046427185100415436,0.046427185100415436,1,0.8190972107811462,50,1000,0.00434
none_only,zero,800,0.04520784827508082,0.04520784827508082,0.04520784827508082,0.04520784827508082,1,0.8186613300804051,50,1000,0
