region,location,plot,site_id,latitude,longitude,n_site_years,total_survival_obs,mean_survival_rate,mean_positive_growth_rate,first_year,last_year
Florida Keys,Elbow Reef,EL5,Florida Keys.Elbow Reef.EL5,25.145179,-80.257389,13,59,0.9152542372881356,0.5555555555555556,2005,2017
Florida Keys,Turtle Rocks,TR1,Florida Keys.Turtle Rocks.TR1,25.28067,-80.20888,5,59,0.7796610169491526,0.5,2010,2015
Florida Keys,Carysfort Reef,CF1,Florida Keys.Carysfort Reef.CF1,25.22194,-80.21055,13,58,0.896551724137931,0.4166666666666667,2005,2017
Florida Keys,Ball Buoy Reef,BB2,Florida Keys.Ball Buoy Reef.BB2,25.31618,-80.18725,4,54,0.7222222222222222,0.5,2011,2014
Florida Keys,Carysfort Reef,CF4,Florida Keys.Carysfort Reef.CF4,25.222871,-80.209996,8,53,0.7547169811320755,0.3170731707317073,2011,2018
Florida Keys,Sand Key,SK1,Florida Keys.Sand Key.SK1,24.45244,-81.87706,4,53,0.5660377358490566,0.4583333333333333,2010,2014
Florida Keys,Sombrero Reef,SR1,Florida Keys.Sombrero Reef.SR1,24.62592,-81.11045,4,49,0.9591836734693877,0.782608695652174,2010,2014
Florida Keys,Turtle Rocks,TR2,Florida Keys.Turtle Rocks.TR2,25.28072,-80.20907,5,49,0.9183673469387755,0.8372093023255814,2010,2015
Curacao,Water Factory,WF2,Curacao.Water Factory.WF2,12.110385,-68.956205,4,48,0.9583333333333334,0.8292682926829268,2012,2015
Curacao,Water Factory,WF1,Curacao.Water Factory.WF1,12.110441,-68.956475,4,47,0.9148936170212766,0.9230769230769231,2012,2015
Florida Keys,Key Largo Dry Rocks,KL4,Florida Keys.Key Largo Dry Rocks.KL4,25.124294,-80.298833,7,46,0.7608695652173914,0.6571428571428571,2011,2017
Florida Keys,Turtle Rocks,TR3,Florida Keys.Turtle Rocks.TR3,25.28078,-80.20882,5,46,0.9565217391304348,0.7674418604651163,2010,2015
Curacao,Water Factory,WF3,Curacao.Water Factory.WF3,12.109803,-68.955239,4,44,0.7954545454545454,0.75,2012,2015
Dominican Republic,Sombrero Reef,NA,NA,18.37072,-68.84651,1,44,0.8636363636363636,0.8437935843793585,2021,2021
Curacao,Boca Santa Marta,SM3,Curacao.Boca Santa Marta.SM3,12.266826,-69.127415,3,43,0.6511627906976745,0.5714285714285714,2007,2009
Florida Keys,Rock Key,RK1,Florida Keys.Rock Key.RK1,24.45449,-81.85842,4,41,0.8048780487804879,0.5151515151515151,2010,2014
