event_type,n_events,first_year,last_year,median_duration_years,catastrophic_events,total_source_citations
Disease,4,1978,2025,4.5,2,5
Hurricane,4,1961,2017,1,3,5
Bleaching,3,2005,2023,2,1,6
Pollution,2,1999,2021,19,0,2
Vessel grounding,2,1997,2017,1,0,2
Cold snap,1,2010,2010,1,1,2
Predator,1,2005,2010,6,0,2
Sargassum,1,2011,2025,15,0,2
