scenario,n_records_retained,pct_records_retained,n_studies_retained,n_regions_retained,n_timeline_records_retained,n_baseline_exclusion_records_retained,n_neely_records_retained,neely_survival_retained,n_neely_reference,k_meta,n_meta_total,pooled_survival,delta_vs_all_data_pp,analysis_status,interpretation
All data (including disease 2014),7346,100,7,7,6977,3137,2215,0.7182844243792325,2215,6,7294,0.7591189974871533,0,meta_sensitivity_fit,"Scenario yields a sensitivity meta-analysis fit; interpret as robustness context, not as a replacement primary analysis."
Excluding disease 2014 intervals,6332,86.19656956166621,7,7,5963,2123,1201,0.8501248959200666,2215,6,6280,0.7857890757232848,2.6670078236131545,meta_sensitivity_fit,"Scenario yields a sensitivity meta-analysis fit; interpret as robustness context, not as a replacement primary analysis."
Excluding NOAA storm intervals,6786,92.37680370269534,7,7,6510,2577,2215,0.7182844243792325,2215,6,6734,0.7592683540591273,0.014935657197401309,meta_sensitivity_fit,"Scenario yields a sensitivity meta-analysis fit; interpret as robustness context, not as a replacement primary analysis."
Excluding baseline-exclusion events,4209,57.29648788456303,6,6,3933,0,1026,0.8615984405458089,2215,5,4157,0.7555570225703585,-0.35619749167947745,meta_sensitivity_fit,"Scenario yields a sensitivity meta-analysis fit; interpret as robustness context, not as a replacement primary analysis."
Excluding all timeline-linked context,276,3.757146746528723,2,2,0,0,11,1,2215,NA,NA,NA,NA,descriptive_only_meta_not_fit,Scenario did not retain enough studies for a valid meta-analysis.
