risk_decile,n,observed_dead_rate,predicted_dead_rate
1,727,0.008253094910591471,0.01926748741948963
2,727,0.052269601100412656,0.046137534610499534
3,727,0.06327372764786796,0.07314881424529143
4,727,0.07152682255845942,0.10545601700839818
5,727,0.11279229711141678,0.1460237301243549
6,727,0.1815680880330124,0.19906131835950552
7,727,0.2407152682255846,0.2726567716449724
8,726,0.34710743801652894,0.35630297716542897
9,726,0.3650137741046832,0.4357843205717857
10,726,0.7258953168044077,0.5497853488590337
