size_class,n_studies,n_total,mean_survival,sd_survival,cv_survival,min_survival,max_survival,range_survival,heterogeneity_flag
SC1,2,86,0.7532467532467533,0.34896178811803646,0.46327685663946216,0.5064935064935064,1,0.49350649350649356,High
SC2,6,1596,0.776930062177988,0.15878690918878896,0.20437735250410768,0.5808736717827627,1,0.4191263282172373,Moderate
SC3,4,1225,0.7919235882501899,0.19688874114470217,0.24862088219867462,0.525,1,0.475,Moderate
SC4,1,942,0.9140127388535032,NA,NA,0.9140127388535032,0.9140127388535032,0,NA
SC5,1,1270,0.9503937007874016,NA,NA,0.9503937007874016,0.9503937007874016,0,NA
