study,mean_interval,median_interval,sd_interval,min_interval,max_interval,n_obs
ALL,1.0475196231872672,1.02191780821918,0.3973142528085876,0.3394934976043806,4.27671232876712,13217
NOAA_survey,1.1097851043520883,1.01369863013699,0.46788278150685436,0.405479452054795,4.27671232876712,7434
USGS_USVI_exp,1.032894736842104,1,0.0410034943597185,1,1.08333333333333,76
fundemar_fragments,0.6419884708361748,0.446575342465753,0.2929487172766008,0.4,1.02191780821918,221
kuffner_et_al_2020,1,1,0,1,1,96
mendoza_quiroz_et_al_2023,1.0268703898840892,1,0.038741959856982124,1,1.08219178082192,104
neely_et_al_2022,0.9464155429266943,1.0239561943874058,0.2982421808009273,0.3394934976043806,1.5824777549623543,3761
pausch_et_al_2018,1.0572338126968182,1.05479452054795,0.03063283262004335,1,1.0958904109589,1525
