"metric","r_squared","deviance_explained","threshold_cm2","threshold_log","max_curvature","n_observations"
"AGR",0.00396957897398598,0.00448343906544321,897.05664584878,6.79911901039799,67.6062170245853,3695
"RGR",0.253225706026014,0.253627576470049,897.05664584878,6.79911901039799,0.0513492325729147,3695
"P(Positive)",NA,0.0169658909405909,1237.05143109825,7.12048594881051,2.02422176736521,3695
