outcome,model,family,n,aic,logLik,deviance_explained,r_squared,scale_est,delta_aic_vs_best
positive_growth,baseline,binomial,5637,7243.963517372623,-3609.5147869444654,0.04446418969148909,0.05201523214707904,1,900.1032193671963
positive_growth,spatiotemporal,binomial,4920,6343.860298005427,-3108.491249270672,0.07446377042795531,0.0866182916978886,1,0
