"model","mean_brier","sd_brier","mean_auc","mean_pr_auc","sd_auc","mean_accuracy","mean_balanced_accuracy"
"Size class (categorical)",0.18646506125054,0.0575322497015625,0.59015863511022,0.799165364606182,0.0912576161026466,0.750504009918171,0.5
"Threshold hinge",0.194098202785891,0.0514315196682055,0.614515650639412,0.819607312943204,0.0998071900866089,0.717021106358295,0.5071356048348
"Linear (log size)",0.194433168722123,0.0512588532057341,0.614520800780267,0.819587296336045,0.0997987206271164,0.719186121370063,0.512380325822406
"Null (intercept only)",0.19807115247158,0.0854962083899531,0.5,0.728893078558205,0,0.750504009918171,0.5
"GAM smooth (k=10)",NA,NA,NA,NA,NA,NA,NA
