iteration,stage,reason,missing_classes,studies_drawn
1210,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1218,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1273,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1280,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1292,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1361,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1366,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1380,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1406,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1475,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1491,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1560,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1568,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1583,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
1590,survival,missing_size_classes,SC5,"mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023,mendoza_quiroz_et_al_2023"
