method,sig_criteria,threshold_mean,threshold_se,ci_lower,ci_upper,n_detected,n_folds,detection_frac
abs_max_d2,none,8.814360997057605,0.16477569966223227,7.99432938548171,9.061144095258276,7,7,1
abs_max_d2,sim_int,9.077390004544213,NA,NA,NA,1,7,0.14285714285714285
min_d2,none,5.963590724739516,1.8498763091989443,2.958097506841069,10.303956155632498,4,7,0.5714285714285714
min_d2,sim_int,7.398646044997333,NA,NA,NA,1,7,0.14285714285714285
zero_d2,none,4.965627725746209,1.0880041550308142,2.8958215212449754,9.914054332769998,7,7,1
zero_d2,sim_int,NA,NA,NA,NA,0,7,0
zero_d1,none,1.5771952175363775,NA,NA,NA,1,7,0.14285714285714285
zero_d1,sim_int,NA,NA,NA,NA,0,7,0
