size_class,disturbance_state,n,pct_positive_growth,median_rgr,mean_rgr
SC1,Context-only pressure,57,0.7894736842105263,1.2215247312160151,3.184853007839543
SC1,Acute baseline-exclusion,12,0.8333333333333334,4.506172839506166,16.20067733930421
SC2,No curated disturbance,9,0.6666666666666666,0.22869674185463637,3.7004063592387575
SC2,Context-only pressure,599,0.6844741235392321,0.4473039215686275,1.0250984417584157
SC2,Acute baseline-exclusion,127,0.6377952755905512,0.29490270222530374,0.5885953109533263
SC3,No curated disturbance,39,0.717948717948718,0.34229446702094424,0.48925761611753016
SC3,Context-only pressure,1126,0.5781527531083481,0.13535732007000634,0.17792860281254105
SC3,Acute baseline-exclusion,282,0.5460992907801419,0.09711975037235832,0.1271222066509195
SC4,No curated disturbance,68,0.6470588235294118,0.0811005100879745,0.1830086609778022
SC4,Context-only pressure,977,0.5803480040941658,0.08599140522819237,0.05432939044298662
SC4,Acute baseline-exclusion,227,0.42731277533039647,-0.09053961475154576,-0.16536599638336133
SC5,No curated disturbance,160,0.59375,0.0838958720064048,0.017858214513201184
SC5,Context-only pressure,909,0.5665566556655666,0.03457399782767938,-0.02357807583611265
SC5,Acute baseline-exclusion,402,0.4228855721393035,-0.04755943722196549,-0.12382786242563748
